US	en_US
GB	en_GB
DE	de_DE
RU	ru_RU
KR	ko_KR
ES	es_ES
IT	it_IT
BR	pt_BR
FR	fr_FR
AE	ar_AE
PL	pl_PL
IN	en_IN
TW	zh_TW
TH	th_TH
MX	es_MX
JP	ja_JP
TR	tr_TR
HK	zh_HK
CA	en_CA
ID	in_ID
VN	vi_VN
PH	en_PH
AU	en_AU
IR	fa_IR
NL	nl_NL
EG	ar_EG
AR	es_AR
CZ	cs_CZ
MY	en_MY
RO	ro_RO
SA	ar_SA
GR	el_GR
HU	hu_HU
AT	de_AT
SG	en_SG
CN	zh_CN
CL	es_CL
UA	ru_UA
SE	sv_SE
CO	es_CO
FI	fi_FI
PT	pt_PT
IL	iw_IL
IQ	ar_IQ
SK	sk_SK
HR	hr_HR
FA	fa_FA
BG	bg_BG
PE	es_PE
VE	es_VE
CH	de_CH
NZ	en_NZ
ZA	en_ZA
DK	da_DK
BO	es_BO
NO	nb_NO
MA	fr_MA
IE	en_IE
RS	sr_RS
BY	ru_BY
GT	es_GT
PK	en_PK
DO	es_DO
CR	es_CR
MM	en_MM
EC	es_EC
LT	lt_LT
BE	nl_BE
YE	ar_YE
NG	en_NG
HN	es_HN
KZ	ru_KZ
LK	en_LK
GH	en_GH
JO	ar_JO
PA	es_PA
SI	sl_SI
TZ	en_TZ
BD	en_BD
DZ	fr_DZ
OM	ar_OM
SV	es_SV
JM	en_JM
KW	en_KW
PY	es_PY
UY	es_UY
TN	fr_TN
LY	ar_LY
KH	en_KH
PR	es_PR
NP	en_NP
KE	en_KE
QA	en_QA
LV	lv_LV
EE	et_EE
LB	en_LB
BH	en_BH
SY	ar_SY
NI	es_NI
TT	en_TT
UZ	ru_UZ
SD	ar_SD
AZ	ru_AZ
CI	fr_CI
GE	en_GE
MU	en_MU
GN	fr_GN
MK	en_MK
CG	fr_CG
MO	zh_MO
BN	en_BN
ET	en_ET
KG	ru_KG
SN	fr_SN
AM	ru_AM
PG	en_PG
UG	en_UG
MD	ru_MD
BA	hr_BA
GP	fr_GP
CY	en_CY
MN	en_MN
MV	en_MV
MZ	pt_MZ
AO	pt_AO
LA	th_LA
ZM	en_ZM
AL	en_AL
BJ	fr_BJ
SR	en_SR
ZW	en_ZW
AF	en_AF
RE	fr_RE
ML	fr_ML
NA	en_NA
LR	en_LR
BF	fr_BF
UK	en_UK
BS	en_BS
MG	fr_MG
MT	en_MT
LI	de_LI
CM	fr_CM
FJ	en_FJ
LU	de_LU
MC	en_MC
CS	sr_CS
ME	sr_ME
BB	en_BB
TM	ru_TM
TJ	ru_TJ
IS	en_IS
EN	en_EN
NE	fr_NE
AW	en_AW
AI	en_AI
HT	fr_HT
GY	en_GY
TG	fr_TG
BW	en_BW
RW	en_RW
ZZ	zz_ZZ
BT	en_BT
MW	en_MW
XX	en_XX
MR	fr_MR
GA	fr_GA
NC	fr_NC
SL	en_SL
PF	fr_PF
SO	en_SO
BZ	en_BZ
CV	pt_CV
VC	en_VC
AD	es_AD
BI	fr_BI
LS	en_LS
SC	en_SC
AG	en_AG
KY	en_KY
KN	en_KN
LC	en_LC
DJ	fr_DJ
VG	en_VG
GD	en_GD
GM	en_GM
VI	vi_VI
SZ	en_SZ
HW	en_HW
GL	da_GL
DM	en_DM
KM	fr_KM
GQ	es_GQ
GI	en_GI
TD	fr_TD
VU	en_VU
BM	en_BM
TL	en_TL
FO	da_FO
UN	en_UN
CF	fr_CF
SB	en_SB
TO	en_TO
TC	en_TC
AS	en_AS
EU	ru_EU
YM	ar_YM
CK	en_CK
KS	ar_KS
NY	de_NY
WS	en_WS
XA	es_XA
CD	fr_CD
GW	fr_GW
VK	en_VK
WB	en_WB
IW	iw_IW
HA	zh_HA
JA	ja_JA
ST	pt_ST
HE	iw_HE
ZH	es_ZH
KU	en_KU
MH	en_MH
CU	es_CU
ZG	my_ZG
KK	ru_KK
YU	sh_YU
JK	de_JK
JN	en_JN
ZP	de_ZP
GC	en_GC
MS	en_MS
RB	en_RB
RD	en_RD
SM	en_SM
BU	bg_BU
UL	en_UL
MI	de_MI
UR	en_UR
WN	en_WN
XK	en_XK
YD	en_YD
JZ	ru_JZ
TK	nl_TK
UF	it_UF
LZ	ru_LZ
